"Type";"Start Port";"Start Week";"Destination";"Duration";"Weight";"Pickup Interval";"Cargo";"Cranes";"Ice Class";"Bi Fuel";"Rate";"Currency";"Discharge Time";"Port Days";"SSHINC";"Demurage";"Signing Fee";"Cargo Volume";"Floor Strength";"Maintenance Period";"Monthly Payment Date";"Penalty";"Broker";"Commission"
"Contract Of Affreightment";"Hamburg";2;"Rotterdam";53;5761;4;"Steel Products";FALSE;FALSE;FALSE;25.5;"USD";5;0;FALSE;13675;0;0;0;0;0;5470;"Worldwide Freight";0.01
"Voyage Charter";"Shanghai";2;"New York";11;82456;0;"Bauxite";FALSE;FALSE;FALSE;6;"USD";0;7;TRUE;19855;0.5;0;0;0;0;7942;"Omega Forwarding";0.02
"Voyage Charter";"Gothenburg";2;"Gijon";2;13801;0;"Coal";FALSE;TRUE;FALSE;15.01;"USD";0;5;TRUE;13675;0.05;0;0;0;0;5470;"Great Eagle Tranport Services";0.02
"Voyage Charter";"Chiba";2;"Pasir Gudang";5;23778;0;"Manufactureds";FALSE;FALSE;FALSE;19.9;"USD";0;8;TRUE;17550;0.29;0;0;0;0;7020;"Blue Mountain Logistics";0.03
"Voyage Charter";"Antwerp";2;"Gdansk";2;26876;0;"Agribulk";FALSE;TRUE;FALSE;5.81;"USD";0;6;FALSE;17550;0.09;0;0;0;0;7020;"ABC Logisitcs";0.04
"Voyage Charter";"New York";2;"Corpus Christi";4;23616;0;"Agribulk";FALSE;FALSE;FALSE;11.25;"USD";0;10;TRUE;17550;0.19;0;0;0;0;7020;"ABC Logisitcs";0.03
"Voyage Charter";"Rotterdam";2;"Marseille";3;23091;0;"Alumina";FALSE;FALSE;FALSE;9;"USD";0;1;FALSE;15033;0.49;0;0;0;0;6013;"Mann Global Logistics";0.01
"Voyage Charter";"Ensenada";2;"Corpus Christi";14;87652;0;"Manufactureds";FALSE;FALSE;FALSE;23.95;"USD";0;33;FALSE;17473;0.04;0;0;0;0;6989;"McCorran Freight";0.03
"Voyage Charter";"Guangzhou";2;"Tubarao";8;40270;0;"Woodproducts";FALSE;FALSE;FALSE;21.76;"USD";0;-6;TRUE;17550;0.1;0;0;0;0;7020;"Intercargo Services";0.04
"Voyage Charter";"New York";2;"Marseille";4;46340;0;"Agribulk";FALSE;FALSE;FALSE;15.93;"USD";0;7;TRUE;16750;0.38;0;0;0;0;6700;"McCorran Freight";0.05
"Voyage Charter";"Marseille";2;"Rotterdam";3;44097;0;"Iron Ore";FALSE;FALSE;FALSE;7.5;"USD";0;-3;TRUE;17550;0.29;0;0;0;0;7020;"Brauner International";0.02
