"Canal";"Canal Width";"Canal Depth";"Canal Fee";"Distance Using Canal";"Distance Not Using Canal";"Risk Of Piracy";"Applicable Loadline";"Start Port";"Start Port Port Limit";"Start Port Penalty for Greylisted Flag";"Start Port Ice Class Required";"Start Port Penalty for High Sulphur Fuel";"Start Port Bunker Price";"Start Port Port Tariff";"Start Port Waiting Time";"Start Port Loading Capacity";"Start Port Unloading Capacity";"Start Port Repair Costs";"Start Port Dock Size";"Start Port Yearly Port Trade";"End Port";"End Port Port Limit";"End Port Penalty for Greylisted Flag";"End Port Ice Class Required";"End Port Penalty for High Sulphur Fuel";"End Port Bunker Price";"End Port Port Tariff";"End Port Waiting Time";"End Port Loading Capacity";"End Port Unloading Capacity";"End Port Repair Costs";"End Port Dock Size";"End Port Yearly Port Trade"
"No";200;50;0;0;0;0;"WNA";"Gothenburg";7.4;FALSE;TRUE;FALSE;294;2.1;1.92;125;75;270;24000;60;"Gothenburg";7.4;FALSE;TRUE;FALSE;294;2.1;1.92;125;75;270;24000;60
"No";200;50;0;406;406;0;"WNA";"Gothenburg";7.4;FALSE;TRUE;FALSE;294;2.1;1.92;125;75;270;24000;60;"Gdansk";15;FALSE;TRUE;FALSE;294;2.1;2.17;75;37.5;180;135000;24
"No";200;50;0;665;665;0;"WNA";"Gothenburg";7.4;FALSE;TRUE;FALSE;294;2.1;1.92;125;75;270;24000;60;"Tallinn";8.7;FALSE;TRUE;FALSE;290.5;2.1;1.92;125;75;180;55000;41
"No";200;50;0;240;240;0;"WNA";"Gothenburg";7.4;FALSE;TRUE;FALSE;294;2.1;1.92;125;75;270;24000;60;"Rostock";13;FALSE;TRUE;FALSE;294;2.1;2.57;0;0;250;75000;10
"No";200;50;0;3947;3947;0;"WNA";"Gothenburg";7.4;FALSE;TRUE;FALSE;294;2.1;1.92;125;75;270;24000;60;"Odessa";12.5;FALSE;TRUE;FALSE;319;2.2;3.72;0;0;100;55000;35
"No";200;50;0;4061;4061;0;"WNA";"Gothenburg";7.4;FALSE;TRUE;FALSE;294;2.1;1.92;125;75;270;24000;60;"Novorossiysk";13.2;FALSE;TRUE;FALSE;340;2.2;2.75;125;75;150;190000;1
"No";200;50;0;4191;4191;0;"WNA";"Gothenburg";7.4;FALSE;TRUE;FALSE;294;2.1;1.92;125;75;270;24000;60;"Batumi";10.5;FALSE;TRUE;FALSE;414;2.2;4.17;12.5;12.5;400;0;4
"Suez";77.5;20;2;10969;14287;0;"WNA";"Gothenburg";7.4;FALSE;TRUE;FALSE;294;2.1;1.92;125;75;270;24000;60;"Shanghai";22;FALSE;FALSE;FALSE;317;2.04;2.42;125;75;140;400000;500
"Suez";77.5;20;2;10275;13588;0;"WNA";"Gothenburg";7.4;FALSE;TRUE;FALSE;294;2.1;1.92;125;75;270;24000;60;"Guangzhou";15;FALSE;FALSE;FALSE;334;2.04;1.92;125;75;140;200000;300
"Suez";77.5;20;2;11351;14667;0;"WNA";"Gothenburg";7.4;FALSE;TRUE;FALSE;294;2.1;1.92;125;75;270;24000;60;"Dalian";10.8;FALSE;FALSE;FALSE;334;2.04;1.75;125;75;140;200000;267
