"Name";"Age";"Length";"Width";"Draft";"DWT";"GT";"Engine";"Speed";"Consumption";"Hotel Consumption";"Bunker Capacity";"Draft Empty";"Draft Tropic";"Draft WNA";"Ice Class";"Bi Fuel";"Cargo Volume";"Holds";"Opening Length";"Opening Width";"Floor Strength";"Cranes";"Maintenance";"Insurance";"Crew Wage";"Administration";"Total OPEX";"Available In";"Available At";"Time Until Docking";"Vessel Price";"Fuel Value";"Spare Parts Value";"Sundry Value";"Broker Fee";"Total Price"
"Abbay Wonz";30;136.99;22.86;9.83;15107;11292;6360;15.5;22;3.24;1257;2.75;10.03;9.63;FALSE;FALSE;21490;7;19.1;10.7;15;7;425629;228785;687072;55355;1396841;0;"Batumi";451;3793305;100560;568996;189665;75866;4728392
"Alam Murni";11;189.94;32.26;12.3;53553;29979;9477;15;34.8;2.38;1790;3.2;12.56;12.04;FALSE;FALSE;68925;5;21.12;17.6;15;4;441707;239301;687072;196227;1564307;0;"Mina Saqr";551;31429796;143200;1334284;444761;628596;33980637
"Alice";17;169.03;27.24;9.76;28426;16794;5733;14;21.1;2.2;742;2.64;9.96;9.56;FALSE;FALSE;37525;5;19.2;17.6;10;4;429674;163569;598812;104157;1296212;0;"Port-Gentil";356;15014198;59360;823950;274650;300284;16472442
"Alice Oldendorff";14;189.77;32.2;12.15;48000;28747;8580;14.3;31.5;2.38;1257;3.28;12.4;11.9;FALSE;FALSE;59740;5;23.95;22.54;15;4;437937;233952;687072;175879;1534840;0;"Incheon";327;23203222;100560;1110793;370264;464064;25248903
"An Ping 6";27;195;28.4;11;38944;24389;9532;14.5;33.8;1.23;1694;2.97;11.23;10.77;FALSE;FALSE;48984;6;16;14.28;10;0;435663;422327;687072;142697;1687759;0;"Tanger";408;6999156;135520;749910;249970;139983;8274539
"Anda no.66";9;87.06;14.6;6;4307;2618;1765;12.5;5;0.68;218;1.74;6.13;5.88;FALSE;FALSE;5760;2;18.53;10.95;15;0;399447;16122;394476;15782;825827;0;"Marseille";488;4291761;49704;169412;56471;85835;4653183
"Andhika Sharmila";29;225;32.2;12.93;64975;35609;7870;14.5;28.9;1.35;1053;3.36;13.2;12.66;FALSE;FALSE;75026;7;18;14;10;0;442858;808498;771960;238079;2261395;0;"Portland";74;1624375;84240;214991;71664;32488;2027758
"Apostolos 2";11;179.28;28;10.65;34699;22072;7650;14;28.1;2.2;1095;2.88;10.87;10.43;FALSE;FALSE;44020;5;20.8;19.6;10;4;432424;151124;598812;127143;1309503;0;"Corpus Christi";496;23591044;87600;1001507;333836;471821;25485808
"Arena";27;226.35;32.21;13.26;69235;36417;7943;13.5;29.2;1.35;948;3.45;13.54;12.98;FALSE;FALSE;77707;7;17.6;14.4;15;0;440340;743442;771960;253688;2209430;0;"Mina Qaboos";233;1730875;75840;185451;61817;34618;2088601
"Asahi Maru";3;179.97;29.8;10.54;38215;23264;7860;14.7;28.9;2.07;1394;2.85;10.76;10.32;FALSE;FALSE;47125;5;23.99;23.84;10;4;436034;114419;513924;140026;1204403;0;"Walvis Bay";559;30106740;111520;981742;327247;602135;32129384
